timestamp,mode,franka_x,franka_y,franka_z,vx,vy,vz,wz,pwm1,pwm2,pwm3,sm_x,sm_y,sm_z,sm_yaw,btn0,btn_other
2026-08-23 21:42:47.850101,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:47.901145,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:47.952091,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.003045,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.054504,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.105732,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.156538,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.207570,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.258615,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.309809,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.360840,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.411971,franka,0.46320,0.09510,0.44140,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.462775,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.513580,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.564307,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.615233,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.666172,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.716832,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.767752,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.818629,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:48.869362,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,-0.0314,-0.1029,0.0457,0,0
2026-08-23 21:42:48.920092,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,-0.0600,-0.0914,-0.1086,0.1171,0,0
2026-08-23 21:42:48.970921,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,-0.0600,-0.0914,-0.1086,0.1171,0,0
2026-08-23 21:42:49.021647,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.072355,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.123155,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.173962,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.224929,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.275889,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.326877,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.377763,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.428704,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.479639,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.530343,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.581190,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.631910,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0000,0,0
2026-08-23 21:42:49.682581,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0086,0,0
2026-08-23 21:42:49.733523,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0086,0,0
2026-08-23 21:42:49.784205,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0057,0,0
2026-08-23 21:42:49.834932,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0000,0.0000,0.0057,0,0
2026-08-23 21:42:49.885813,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0457,0.0000,0.0000,0,0
2026-08-23 21:42:49.936652,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0429,0.0000,0.0000,0,0
2026-08-23 21:42:49.987667,franka,0.46320,0.09510,0.44141,0.00000,0.00000,0.00000,0.00000,7.00,21.00,0.00,0.0000,0.0086,0.0000,0.0000,0,0
