t,raw_x,raw_y,raw_yaw,raw_z_btn,vx,vy,vz,wz
0.0004,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.0504,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1004,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.6005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.6505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2506,0.0000,0.0600,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3006,0.0000,0.0857,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3507,0.0000,0.1029,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.4007,0.0000,0.1286,0.0000,0,0.00000,0.00063,0.00000,0.00000
1.4507,0.0000,0.1571,0.0000,0,0.00000,0.00273,0.00000,0.00000
1.5007,0.0000,0.2000,0.0000,0,0.00000,0.00588,0.00000,0.00000
1.5507,0.0000,0.2429,0.0000,0,0.00000,0.00903,0.00000,0.00000
1.6007,0.0000,0.2771,0.0000,0,0.00000,0.01155,0.00000,0.00000
1.6507,0.0000,0.3000,0.0000,0,0.00000,0.01324,0.00000,0.00000
1.7007,0.0000,0.3114,0.0000,0,0.00000,0.01408,0.00000,0.00000
1.7507,0.0000,0.3286,0.0000,0,0.00000,0.01534,0.00000,0.00000
1.8007,0.0000,0.3457,0.0000,0,0.00000,0.01660,0.00000,0.00000
1.8507,0.0000,0.3657,0.0000,0,0.00000,0.01807,0.00000,0.00000
1.9007,0.0000,0.3857,0.0000,0,0.00000,0.01954,0.00000,0.00000
1.9507,0.0000,0.4086,0.0000,0,0.00000,0.02122,0.00000,0.00000
2.0007,0.0000,0.4400,0.0000,0,0.00000,0.02353,0.00000,0.00000
2.0508,0.0000,0.4629,0.0000,0,0.00000,0.02521,0.00000,0.00000
2.1008,0.0000,0.4800,0.0000,0,0.00000,0.02647,0.00000,0.00000
2.1508,0.0000,0.5029,0.0000,0,0.00000,0.02815,0.00000,0.00000
2.2008,0.0000,0.5171,0.0000,0,0.00000,0.02920,0.00000,0.00000
2.2508,0.0000,0.5571,0.0000,0,0.00000,0.03214,0.00000,0.00000
2.3008,0.0000,0.5943,0.0000,0,0.00000,0.03487,0.00000,0.00000
2.3508,0.0000,0.6943,-0.0114,0,0.00000,0.04223,0.00000,0.00000
2.4008,0.0000,0.7486,-0.0200,0,0.00000,0.04622,0.00000,0.00000
2.4508,0.0000,0.8429,-0.0229,0,0.00000,0.05000,0.00000,0.00000
2.5008,0.0000,0.9057,-0.0171,0,0.00000,0.05000,0.00000,0.00000
2.5508,-0.0057,0.9686,-0.0171,0,0.00000,0.05000,0.00000,0.00000
2.6008,-0.0114,1.0000,-0.0229,0,0.00000,0.05000,0.00000,0.00000
2.6508,-0.0229,1.0000,-0.0200,0,0.00000,0.05000,0.00000,0.00000
2.7008,-0.0371,1.0000,-0.0171,0,0.00000,0.05000,0.00000,0.00000
2.7508,-0.0457,1.0000,-0.0229,0,0.00000,0.05000,0.00000,0.00000
2.8009,-0.0514,1.0000,-0.0229,0,0.00000,0.05000,0.00000,0.00000
2.8509,-0.0571,1.0000,-0.0257,0,0.00000,0.05000,0.00000,0.00000
2.9009,-0.0571,1.0000,-0.0286,0,0.00000,0.05000,0.00000,0.00000
2.9509,-0.0543,1.0000,-0.0286,0,0.00000,0.05000,0.00000,0.00000
3.0009,-0.0543,1.0000,-0.0286,0,0.00000,0.05000,0.00000,0.00000
3.0509,-0.0600,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.1009,-0.0600,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.1509,-0.0600,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.2009,-0.0629,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.2509,-0.0629,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.3009,-0.0629,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.3509,-0.0629,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.4009,-0.0600,1.0000,-0.0314,0,0.00000,0.05000,0.00000,0.00000
3.4509,-0.0629,1.0000,-0.0286,0,0.00000,0.05000,0.00000,0.00000
3.5009,-0.0629,1.0000,-0.0286,0,0.00000,0.05000,0.00000,0.00000
3.5509,-0.0629,1.0000,-0.0286,0,0.00000,0.05000,0.00000,0.00000
3.6009,-0.0629,1.0000,-0.0286,0,0.00000,0.05000,0.00000,0.00000
