t,raw_x,raw_y,raw_yaw,raw_z_btn,vx,vy,vz,wz
0.0005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.0505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.6006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.6506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2007,0.0000,0.0114,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.4008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.4508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.5008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.5508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.6008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.6508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.7008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.7508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.8008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.8508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.9008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.9508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.0008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.0508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.1009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.1509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.2009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.2509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.3009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.3509,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.4009,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.4509,-0.0114,0.1143,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.5009,-0.0114,0.1314,0.0000,0,0.00000,0.00084,0.00000,0.00000
2.5509,0.0000,0.1143,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.6009,0.0000,0.1029,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.6509,0.0000,0.1000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.7009,0.0000,0.1057,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.7509,0.0000,0.1200,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.8010,0.0000,0.1171,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.8510,0.0000,0.0914,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.9010,0.0000,0.0200,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.9510,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
3.0010,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
