t,raw_x,raw_y,raw_yaw,raw_z_btn,vx,vy,vz,wz,act_vx,act_vy,act_vz,act_wz
0.0005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1005,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1505,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.3506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.4006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.4506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.5006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.5506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.7006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.7506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.8006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.8506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.9006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.9506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.0006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.0506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.1006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.1506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.2006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.2506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.3006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.3507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.4007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.4507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.5507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.6007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.6507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.7007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.7507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.8007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.8507,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.9007,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.9508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.0008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.0508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.1008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.1508,0.0000,0.1143,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.2008,0.0000,0.1514,0.0000,0,0.00000,0.00231,0.00000,0.00000,0.00000,0.00229,0.00000,0.00000
2.2508,0.0000,0.1514,0.0000,0,0.00000,0.00231,0.00000,0.00000,0.00000,0.00231,0.00000,0.00000
2.3008,0.0000,0.1257,0.0000,0,0.00000,0.00042,0.00000,0.00000,0.00000,0.00231,0.00000,0.00000
2.3508,0.0000,0.1229,0.0000,0,0.00000,0.00021,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.4008,0.0000,0.0857,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000
2.4508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000
2.5008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000
2.5508,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000
2.6008,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000
2.6508,0.0000,0.0857,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000
2.7008,0.0000,0.2143,0.0000,0,0.00000,0.00693,0.00000,0.00000,0.00000,0.00252,0.00000,0.00000
2.7508,0.0000,0.3114,0.0000,0,0.00000,0.01408,0.00000,0.00000,0.00000,0.00966,0.00000,0.00000
2.8008,0.0000,0.3543,0.0000,0,0.00000,0.01723,0.00000,0.00000,0.00000,0.01534,0.00000,0.00000
2.8508,0.0000,0.4000,0.0000,0,0.00000,0.02059,0.00000,0.00000,0.00000,0.01828,0.00000,0.00000
2.9008,0.0000,0.4686,0.0000,0,0.00000,0.02563,0.00000,0.00000,0.00000,0.02164,0.00000,0.00000
2.9508,0.0000,0.5086,0.0000,0,0.00000,0.02857,0.00000,0.00000,0.00000,0.02689,0.00000,0.00000
3.0008,-0.0057,0.5514,0.0000,0,0.00000,0.03172,0.00000,0.00000,0.00000,0.02983,0.00000,0.00000
3.0509,-0.0057,0.5743,0.0000,0,0.00000,0.03340,0.00000,0.00000,0.00000,0.03277,0.00000,0.00000
3.1009,-0.0086,0.5914,0.0000,0,0.00000,0.03466,0.00000,0.00000,0.00000,0.03277,0.00000,0.00000
3.1509,-0.0200,0.6343,0.0000,0,0.00000,0.03782,0.00000,0.00000,0.00000,0.03550,0.00000,0.00000
3.2009,-0.0229,0.6657,0.0000,0,0.00000,0.04013,0.00000,0.00000,0.00000,0.03887,0.00000,0.00000
3.2509,-0.0229,0.7029,0.0000,0,0.00000,0.04286,0.00000,0.00000,0.00000,0.04160,0.00000,0.00000
3.3009,-0.0314,0.7800,0.0000,0,0.00000,0.04853,0.00000,0.00000,0.00000,0.04559,0.00000,0.00000
3.3509,-0.0429,0.8571,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.04958,0.00000,0.00000
3.4009,-0.0600,0.9429,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.04958,0.00000,0.00000
3.4509,-0.0657,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.04958,0.00000,0.00000
3.5009,-0.0400,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.5509,-0.0314,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.6009,-0.0229,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.6509,-0.0086,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.7009,-0.0086,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.7509,-0.0057,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.8009,-0.0029,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.8510,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.9010,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
3.9510,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.0010,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.0511,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.1011,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.1511,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.2011,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.2511,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.3011,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.3511,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.4011,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.4511,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.5011,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.5511,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.6011,0.0000,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.6511,-0.0086,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.7011,-0.0257,1.0000,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
4.7511,-0.0286,0.9314,0.0000,0,0.00000,0.05000,0.00000,0.00000,0.00000,0.05000,0.00000,0.00000
