t,raw_x,raw_y,raw_yaw,raw_z_btn,vx,vy,vz,wz,act_vx,act_vy,act_vz,act_wz
0.0006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.0506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.1506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2006,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.2506,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
