t,raw_x,raw_y,raw_yaw,raw_z_btn,vx,vy,vz,wz
0.0010,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.0510,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1010,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.1511,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2011,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.2511,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3011,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.3512,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4012,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.4512,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5012,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.5512,-0.0286,0.0000,0.0771,0,0.00000,0.00000,0.00000,0.00000
0.6012,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.6512,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7012,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.7512,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8012,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.8512,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9012,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
0.9512,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0012,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.0512,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1013,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.1513,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2013,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.2513,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3013,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.3513,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.4013,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.4513,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.5013,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.5513,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.6013,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.6514,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.7014,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.7514,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.8014,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.8514,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.9014,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
1.9514,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.0014,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
2.0514,0.0000,0.0000,0.0000,0,0.00000,0.00000,0.00000,0.00000
