timestamp,episode_time,x,y,z,vx,vy,vz,wz
1785131942.3009894,4.2662293910980225,0.4592745304107666,-0.031015586107969284,0.4179888665676117,0.021314051369441464,-0.02096973498597042,0.0,0.0
1785131942.3010814,4.266321420669556,0.4592745304107666,-0.031015586107969284,0.4179888665676117,0.021314051369441464,-0.02096973498597042,0.0,0.0
1785131942.3829389,4.348178863525391,0.4610409736633301,-0.0327114537358284,0.41811373829841614,0.021990357514399123,-0.019619830230971993,0.0002,0.0
1785131942.6479836,4.613223552703857,0.46699804067611694,-0.03762345388531685,0.4184892475605011,0.02387526121264726,-0.015292614244166884,0.006268710532094094,0.0
1785131942.6480207,4.613260746002197,0.46699804067611694,-0.03762345388531685,0.4184892475605011,0.02387526121264726,-0.015292614244166884,0.006268710532094094,0.0
1785131947.1422725,9.107512474060059,0.5377373099327087,-0.043681588023900986,0.3711785674095154,0.0,0.0,-0.03,0.0
1785131947.1423073,9.107547283172607,0.5377373099327087,-0.043681588023900986,0.3711785674095154,0.0,0.0,-0.03,0.0
1785131963.771183,25.736423015594482,0.7136421203613281,-0.16770075261592865,0.3417213559150696,-0.007496881219127459,-0.0002,0.0,0.0
1785131963.7712228,25.736462831497192,0.7136421203613281,-0.16770075261592865,0.3417213559150696,-0.007496881219127459,-0.0002,0.0,0.0
1785131966.327096,28.292335987091064,0.6639230251312256,-0.2117542177438736,0.3416365087032318,-0.026894812314720486,-0.0068137435110411,0.0,0.0
1785131966.3271155,28.29235553741455,0.6639230251312256,-0.2117542177438736,0.3416365087032318,-0.026894812314720486,-0.0068137435110411,0.0,0.0
1785131967.0103095,28.975549459457397,0.6631276607513428,-0.21196292340755463,0.34174275398254395,-0.0019705272834271335,0.0,0.0,0.0
1785131967.01035,28.975589990615845,0.6631276607513428,-0.21196292340755463,0.34174275398254395,-0.0019705272834271335,0.0,0.0,0.0
1785131967.0873175,29.052557468414307,0.6629782915115356,-0.21190708875656128,0.34175366163253784,-0.002209618943233423,0.0002,0.0,0.0
1785131967.3268526,29.2920925617218,0.6628558039665222,-0.21192298829555511,0.34176257252693176,0.0,0.0,0.0,0.0
1785131967.3268712,29.29211115837097,0.6628558039665222,-0.21192298829555511,0.34176257252693176,0.0,0.0,0.0,0.0
1785131979.5807164,41.54595637321472,0.47502419352531433,-0.03458664193749428,0.34175917506217957,0.0,0.00028061004011632306,0.0,0.0
1785131979.5807364,41.545976400375366,0.47502419352531433,-0.03458664193749428,0.34175917506217957,0.0,0.00028061004011632306,0.0,0.0
1785131981.218975,43.18421506881714,0.463419646024704,-0.01958305574953556,0.34178096055984497,-0.0002,0.0021705272834271335,0.0,0.0
1785131981.2189944,43.184234380722046,0.463419646024704,-0.01958305574953556,0.34178096055984497,-0.0002,0.0021705272834271335,0.0,0.0
1785132012.1954017,74.16064167022705,0.46070894598960876,-0.0032522582914680243,0.3417469263076782,0.0,0.0,0.0,0.0
1785132012.1954224,74.16066241264343,0.46070894598960876,-0.0032522582914680243,0.3417469263076782,0.0,0.0,0.0,0.0
1785132012.6915612,74.65680122375488,0.46070945262908936,-0.0032523181289434433,0.3417455852031708,0.0,0.0,0.0,0.0
1785132012.6916099,74.65684986114502,0.46070945262908936,-0.0032523181289434433,0.3417455852031708,0.0,0.0,0.0,0.0
1785132012.7674532,74.73269319534302,0.46070992946624756,-0.0032533614430576563,0.3417462110519409,0.0,0.0,0.0,0.0
